id_venta,fecha_venta,hora_venta,producto,categoria_producto,cantidad,precio_unitario,total_venta,local,canal_venta,cliente_frecuente,medio_pago,estado_inventario,margen_utilidad_porcentual,formalizado,tipo_turno,aporte_social,latitud,longitud
1,2023-10-17,08:00,Capuchino,Bebida Caliente,3,6000,18000,Engativa,Presencial,No,Tarjeta Credito,"4 kg cafe, 6 litros leche",56.49,Si,Noche,0.5,4.7,-74.1
2,2025-03-26,13:00,Te Chai,Bebida Caliente,2,5500,11000,Chapinero,Presencial,No,Efectivo,"13 kg cafe, 10 litros leche",22.88,Si,Manana,0.5,4.645,-74.057
3,2023-02-14,16:00,Agua,Bebida Fria,4,3000,12000,Suba,Presencial,No,Tarjeta Credito,"15 kg cafe, 2 litros leche",48.99,Si,Noche,0.0,4.755,-74.09
4,2025-04-18,11:45,Capuchino,Bebida Caliente,4,6000,24000,Usaquen,Presencial,No,Tarjeta Credito,"12 kg cafe, 1 litros leche",29.14,Si,Manana,0.0,4.702,-74.03
5,2023-08-06,19:45,Sandwich,Otros,4,7000,28000,Suba,Presencial,No,Tarjeta Credito,"10 kg cafe, 3 litros leche",52.51,Si,Noche,0.0,4.755,-74.09
6,2024-06-08,12:30,Capuchino,Bebida Caliente,1,6000,6000,Engativa,Presencial,No,Tarjeta Credito,"11 kg cafe, 9 litros leche",59.05,Si,Noche,0.0,4.7,-74.1
7,2024-10-03,14:15,Latte,Bebida Caliente,4,6500,26000,Usaquen,Online,No,Nequi,"4 kg cafe, 8 litros leche",57.36,Si,Tarde,0.0,4.702,-74.03
8,2023-08-02,14:30,Croissant,Panaderia,1,4000,4000,Usaquen,Presencial,No,Nequi,"16 kg cafe, 10 litros leche",51.22,Si,Manana,0.0,4.702,-74.03
9,2025-05-21,07:00,Cafe Americano,Bebida Caliente,4,5000,20000,Suba,Presencial,Si,Tarjeta Credito,"15 kg cafe, 8 litros leche",56.13,Si,Tarde,0.0,4.755,-74.09
10,2023-07-11,16:15,Agua,Bebida Fria,4,3000,12000,Engativa,Presencial,No,Tarjeta Debito,"16 kg cafe, 7 litros leche",21.98,Si,Noche,0.0,4.7,-74.1
11,2025-03-02,09:45,Te Chai,Bebida Caliente,3,5500,16500,Usaquen,Online,Si,Efectivo,"12 kg cafe, 7 litros leche",23.91,Si,Manana,0.0,4.702,-74.03
12,2024-01-08,10:30,Agua,Bebida Fria,3,3000,9000,Engativa,Presencial,Si,Tarjeta Debito,"11 kg cafe, 7 litros leche",52.48,Si,Noche,0.0,4.7,-74.1
13,2025-03-24,06:00,Te Chai,Bebida Caliente,1,5500,5500,Suba,Online,Si,Tarjeta Debito,"10 kg cafe, 8 litros leche",34.52,Si,Noche,0.0,4.755,-74.09
14,2023-07-31,11:45,Capuchino,Bebida Caliente,2,6000,12000,Fontibon,Online,Si,Tarjeta Debito,"19 kg cafe, 1 litros leche",58.26,No,Manana,0.0,4.68,-74.15
15,2025-05-01,09:30,Cafe Americano,Bebida Caliente,4,5000,20000,Usaquen,Presencial,No,Efectivo,"4 kg cafe, 5 litros leche",29.71,No,Noche,0.5,4.702,-74.03
16,2023-06-04,10:15,Latte,Bebida Caliente,3,6500,19500,Usaquen,Presencial,No,Efectivo,"10 kg cafe, 8 litros leche",31.83,Si,Tarde,0.0,4.702,-74.03
17,2023-12-19,10:00,Croissant,Panaderia,1,4000,4000,Chapinero,Presencial,No,Tarjeta Debito,"5 kg cafe, 4 litros leche",29.97,Si,Manana,2.0,4.645,-74.057
18,2024-10-20,15:15,Agua,Bebida Fria,3,3000,9000,Chapinero,Presencial,Si,Tarjeta Debito,"17 kg cafe, 1 litros leche",30.33,Si,Manana,0.0,4.645,-74.057
19,2023-09-04,18:45,Cafe Americano,Bebida Caliente,4,5000,20000,Chapinero,Presencial,Si,Tarjeta Debito,"14 kg cafe, 4 litros leche",28.95,Si,Noche,0.0,4.645,-74.057
20,2025-03-10,09:00,Cafe Americano,Bebida Caliente,2,5000,10000,Engativa,Online,Si,Tarjeta Debito,"16 kg cafe, 2 litros leche",20.76,Si,Noche,0.0,4.7,-74.1
21,2023-11-10,06:30,Muffin,Panaderia,1,4200,4200,Fontibon,Presencial,No,Tarjeta Debito,"14 kg cafe, 9 litros leche",24.81,Si,Noche,0.0,4.68,-74.15
22,2023-02-09,08:30,Muffin,Panaderia,1,4200,4200,Fontibon,Online,Si,Nequi,"2 kg cafe, 10 litros leche",36.91,Si,Tarde,0.0,4.68,-74.15
